FT_API_PROFILE: captured ~60s of API server cProfile (cumulative time, top 80)

         4725427 function calls (4635087 primitive calls) in 4.968 seconds

   Ordered by: cumulative time
   List reduced from 856 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3129    0.039    0.000    0.178    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/_future.py:586(_handle_recv)
    85000    0.038    0.000    0.038    0.000 /usr/lib/python3.10/enum.py:678(__new__)
    29414    0.037    0.000    0.062    0.000 /usr/lib/python3.10/asyncio/locks.py:183(set)
    58480    0.037    0.000    0.044    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/pydantic/main.py:94(_model_field_setattr_handler)
    29293    0.035    0.000    0.232    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/pydantic/main.py:481(model_dump_json)
   244629    0.035    0.000    0.035    0.000 {built-in method builtins.len}
     3117    0.033    0.000    0.063    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/ft_client.py:1548(process_engine_outputs)
    29090    0.033    0.000    0.033    0.000 /home/jlpang/my-vllm-serving-system/vllm/outputs.py:110(__init__)
   195108    0.033    0.000    0.033    0.000 {method 'get' of 'dict' objects}
    29090    0.032    0.000    0.276    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:774(_update_stats_from_output)
     3117    0.032    0.000    0.053    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/sugar/socket.py:771(recv_multipart)
     7164    0.031    0.000    0.034    0.000 /usr/lib/python3.10/asyncio/tasks.py:593(sleep)
    32219    0.029    0.000    0.145    0.000 /home/jlpang/my-vllm-serving-system/vllm/envs.py:1397(<lambda>)
    29090    0.029    0.000    0.033    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/detokenizer.py:149(get_next_output_text)
    33331    0.029    0.000    0.105    0.000 /usr/lib/python3.10/_collections_abc.py:821(get)
